R_x,R_y,R_z,L_x,L_y,L_z
0.66005,6.035956,0.035305,-0.66005,6.035956,0.035305
1.782391,16.016999,0.436759,-1.782391,16.016999,0.436759
2.606976,22.830821,1.489262,-2.606976,22.830821,1.489262
3.131924,26.430288,3.014438,-3.131924,26.430288,3.014438
3.35666,26.813535,4.511236,-3.35666,26.813535,4.511236
3.272229,24.618825,5.47969,-3.272229,24.618825,5.47969
2.837721,22.164964,6.039867,-2.837721,22.164964,6.039867
2.046197,20.041629,6.322536,-2.046197,20.041629,6.322536
0.901303,18.265161,6.384515,-0.901303,18.265161,6.384515
-0.595451,16.841821,6.286392,0.595451,16.841821,6.286392
-2.302589,15.734121,6.108883,2.302589,15.734121,6.108883
-3.651196,14.794495,5.967439,3.651196,14.794495,5.967439
-4.500546,13.969414,5.909303,4.500546,13.969414,5.909303
-4.849722,13.245458,5.944534,4.849722,13.245458,5.944534
-4.695947,12.616511,6.069842,4.695947,12.616511,6.069842
-4.168723,12.036389,6.238336,4.168723,12.036389,6.238336
-3.796362,11.330312,6.285981,3.796362,11.330312,6.285981
-3.711815,10.46089,6.168505,3.711815,10.46089,6.168505
-3.915506,9.434956,5.882001,3.915506,9.434956,5.882001
-4.407594,8.257454,5.425177,4.407594,8.257454,5.425177
-5.11199,6.99278,4.842838,5.11199,6.99278,4.842838
-5.724234,5.888154,4.311603,5.724234,5.888154,4.311603
-6.168187,4.999125,3.886155,6.168187,4.999125,3.886155
-6.443921,4.320534,3.575331,6.443921,4.320534,3.575331
-6.551669,3.849407,3.384073,6.551669,3.849407,3.384073
-6.503686,3.597012,3.327076,6.503686,3.597012,3.327076
-6.347712,3.612115,3.456346,6.347712,3.612115,3.456346
-6.095753,3.902343,3.789202,6.095753,3.902343,3.789202
-5.748026,4.460775,4.332251,5.748026,4.460775,4.332251
-5.304822,5.277754,5.095125,5.304822,5.277754,5.095125
-4.793969,6.289152,6.047996,4.793969,6.289152,6.047996
-4.325919,7.280115,7.029146,4.325919,7.280115,7.029146
-3.928755,8.193837,8.002424,3.928755,8.193837,8.002424
-3.602889,9.025687,8.973447,3.602889,9.025687,8.973447
-3.348467,9.771208,9.946987,3.348467,9.771208,9.946987
-3.202399,10.286968,10.823551,3.202399,10.286968,10.823551
-3.31221,10.037655,11.161669,3.31221,10.037655,11.161669
-3.713219,8.948654,10.780361,3.713219,8.948654,10.780361
-4.401942,7.085874,9.611125,4.401942,7.085874,9.611125
-5.37023,4.490849,7.623293,5.37023,4.490849,7.623293
-6.435937,1.507883,5.15032,6.435937,1.507883,5.15032
-6.925542,-0.512606,3.481779,6.925542,-0.512606,3.481779
-6.691384,-1.23741,2.930841,6.691384,-1.23741,2.930841
-5.765578,-0.641486,3.448162,5.765578,-0.641486,3.448162
-4.181559,1.295619,4.988899,4.181559,1.295619,4.988899
-2.164247,4.182008,7.285285,2.164247,4.182008,7.285285
-0.523832,6.496467,9.258302,0.523832,6.496467,9.258302
0.555277,7.858194,10.641746,-0.555277,7.858194,10.641746
1.080983,8.300313,11.39067,-1.080983,8.300313,11.39067
1.051819,7.887463,11.423996,-1.051819,7.887463,11.423996
0.581561,6.864562,10.82288,-0.581561,6.864562,10.82288
0.141258,5.942944,10.217988,-0.141258,5.942944,10.217988
-0.149736,5.274982,9.796295,0.149736,5.274982,9.796295
-0.290862,4.840872,9.579151,0.290862,4.840872,9.579151
-0.282221,4.62294,9.583687,0.282221,4.62294,9.583687
-0.155711,4.562656,9.773785,0.155711,4.562656,9.773785
-0.037785,4.484117,9.953167,0.037785,4.484117,9.953167
0.040054,4.348589,10.068237,-0.040054,4.348589,10.068237
0.077849,4.160982,10.11504,-0.077849,4.160982,10.11504
0.075592,3.92648,10.089771,-0.075592,3.92648,10.089771
0.041729,3.662202,10.009538,-0.041729,3.662202,10.009538
0.010127,3.417645,9.955422,-0.010127,3.417645,9.955422
-0.010738,3.20147,9.949728,0.010738,3.20147,9.949728
-0.020865,3.009755,9.994349,0.020865,3.009755,9.994349
-0.020253,2.838544,10.090963,0.020253,2.838544,10.090963
-0.011174,2.675038,10.211084,0.011174,2.675038,10.211084
-0.002706,2.484498,10.23484,0.002706,2.484498,10.23484
0.002881,2.266244,10.130211,-0.002881,2.266244,10.130211
0.005587,2.029363,9.895272,-0.005587,2.029363,9.895272
0.005412,1.78255,9.528594,-0.005412,1.78255,9.528594
0.002968,1.550136,9.128503,-0.002968,1.550136,9.128503
0.000698,1.39212,9.093508,-0.000698,1.39212,9.093508
-0.000786,1.2974,9.527356,0.000786,1.2974,9.527356
-0.001484,1.233594,10.434028,0.001484,1.233594,10.434028
-0.001397,1.162733,11.816606,0.001397,1.162733,11.816606
-0.000698,1.013445,13.306033,0.000698,1.013445,13.306033
-0.000087,0.705928,13.414318,0.000087,0.705928,13.414318
0.000262,0.358945,11.761488,-0.000262,0.358945,11.761488
0.000349,0.107622,8.346051,-0.000349,0.107622,8.346051
0.000175,0.008905,3.17211,-0.000175,0.008905,3.17211
